year,industry,occupation,job_vacancy_rate
1998,insurance and pension funding,"clerical, sales and services workers",-
1998,insurance and pension funding,"production and transport operators, cleaners and labourers",-
1998,business and real estate services,"professionals, managers, executives and technicians",1.7
1998,business and real estate services,"clerical, sales and services workers",2.4
1998,business and real estate services,"production and transport operators, cleaners and labourers",1.5
1998,"community, social and personal services","professionals, managers, executives and technicians",3.1
1998,"community, social and personal services","clerical, sales and services workers",3.3
1998,"community, social and personal services","production and transport operators, cleaners and labourers",2.3
1998,others,"professionals, managers, executives and technicians",-
1998,others,"clerical, sales and services workers",-
1998,others,"production and transport operators, cleaners and labourers",-
1999,manufacturing,"professionals, managers, executives and technicians",2.3
1999,manufacturing,"clerical, sales and services workers",1.5
1999,manufacturing,"production and transport operators, cleaners and labourers",1.9
1999,"food, beverages and tobacco","professionals, managers, executives and technicians",-
1999,"food, beverages and tobacco","clerical, sales and services workers",-
1999,"food, beverages and tobacco","production and transport operators, cleaners and labourers",-
1999,textile and wearing apparel,"professionals, managers, executives and technicians",-
1999,textile and wearing apparel,"clerical, sales and services workers",-
1999,textile and wearing apparel,"production and transport operators, cleaners and labourers",5
1999,paper products and publishing,"professionals, managers, executives and technicians",2.7
1999,paper products and publishing,"clerical, sales and services workers",2.5
1999,paper products and publishing,"production and transport operators, cleaners and labourers",2.4
1999,petroleum and chemical products,"professionals, managers, executives and technicians",1.6
1999,petroleum and chemical products,"clerical, sales and services workers",-
1999,petroleum and chemical products,"production and transport operators, cleaners and labourers",1.4
1999,rubber and plastic products,"professionals, managers, executives and technicians",3.2
1999,rubber and plastic products,"clerical, sales and services workers",-
1999,rubber and plastic products,"production and transport operators, cleaners and labourers",2.6
1999,fabricated metal products,"professionals, managers, executives and technicians",2.6
1999,fabricated metal products,"clerical, sales and services workers",2.1
1999,fabricated metal products,"production and transport operators, cleaners and labourers",1.9
1999,machinery and equipment,"professionals, managers, executives and technicians",2
1999,machinery and equipment,"clerical, sales and services workers",1.6
1999,machinery and equipment,"production and transport operators, cleaners and labourers",1.9
1999,electrical products,"professionals, managers, executives and technicians",-
1999,electrical products,"clerical, sales and services workers",-
1999,electrical products,"production and transport operators, cleaners and labourers",1.2
1999,electronic products,"professionals, managers, executives and technicians",2.7
1999,electronic products,"clerical, sales and services workers",1.6
1999,electronic products,"production and transport operators, cleaners and labourers",1.7
1999,medical and precision instruments,"professionals, managers, executives and technicians",-
1999,medical and precision instruments,"clerical, sales and services workers",-
1999,medical and precision instruments,"production and transport operators, cleaners and labourers",1.3
1999,transport equipment,"professionals, managers, executives and technicians",2.1
1999,transport equipment,"clerical, sales and services workers",1.6
1999,transport equipment,"production and transport operators, cleaners and labourers",1.7
1999,other manufacturing industries,"professionals, managers, executives and technicians",-
1999,other manufacturing industries,"clerical, sales and services workers",-
1999,other manufacturing industries,"production and transport operators, cleaners and labourers",1.3
1999,construction,"professionals, managers, executives and technicians",1
1999,construction,"clerical, sales and services workers",0.8
1999,construction,"production and transport operators, cleaners and labourers",1.2
1999,services,"professionals, managers, executives and technicians",2.6
1999,services,"clerical, sales and services workers",2.8
1999,services,"production and transport operators, cleaners and labourers",2.2
1999,wholesale and retail trade,"professionals, managers, executives and technicians",2.2
1999,wholesale and retail trade,"clerical, sales and services workers",2.4
1999,wholesale and retail trade,"production and transport operators, cleaners and labourers",1.8
1999,wholesale trade,"professionals, managers, executives and technicians",2.2
1999,wholesale trade,"clerical, sales and services workers",2.1
1999,wholesale trade,"production and transport operators, cleaners and labourers",1.7
1999,retail trade,"professionals, managers, executives and technicians",2.2
1999,retail trade,"clerical, sales and services workers",2.8
1999,retail trade,"production and transport operators, cleaners and labourers",1.9
1999,hotels and restaurants,"professionals, managers, executives and technicians",2.5
1999,hotels and restaurants,"clerical, sales and services workers",2.9
1999,hotels and restaurants,"production and transport operators, cleaners and labourers",4.3
1999,hotels,"professionals, managers, executives and technicians",2.5
1999,hotels,"clerical, sales and services workers",3.8
1999,hotels,"production and transport operators, cleaners and labourers",4.1
1999,restaurants,"professionals, managers, executives and technicians",2.5
1999,restaurants,"clerical, sales and services workers",2.3
1999,restaurants,"production and transport operators, cleaners and labourers",4.4
1999,"transport, storage and communications","professionals, managers, executives and technicians",2.5
1999,"transport, storage and communications","clerical, sales and services workers",3.6
1999,"transport, storage and communications","production and transport operators, cleaners and labourers",2.2
1999,financial intermediation,"professionals, managers, executives and technicians",2.4
1999,financial intermediation,"clerical, sales and services workers",1.6
1999,financial intermediation,"production and transport operators, cleaners and labourers",2.7
1999,financial institutions,"professionals, managers, executives and technicians",2.4
1999,financial institutions,"clerical, sales and services workers",1.7
1999,financial institutions,"production and transport operators, cleaners and labourers",2.7
1999,insurance and pension funding,"professionals, managers, executives and technicians",2.1
1999,insurance and pension funding,"clerical, sales and services workers",-
1999,insurance and pension funding,"production and transport operators, cleaners and labourers",-
1999,business and real estate services,"professionals, managers, executives and technicians",2.5
1999,business and real estate services,"clerical, sales and services workers",2.8
1999,business and real estate services,"production and transport operators, cleaners and labourers",1.6
1999,"community, social and personal services","professionals, managers, executives and technicians",3.5
1999,"community, social and personal services","clerical, sales and services workers",3.3
1999,"community, social and personal services","production and transport operators, cleaners and labourers",2.9
1999,others,"professionals, managers, executives and technicians",4.2
1999,others,"clerical, sales and services workers",-
1999,others,"production and transport operators, cleaners and labourers",-
2000,manufacturing,"professionals, managers, executives and technicians",3.3
2000,manufacturing,"clerical, sales and services workers",2.4
2000,manufacturing,"production and transport operators, cleaners and labourers",2.7
2000,"food, beverages and tobacco","professionals, managers, executives and technicians",-
2000,"food, beverages and tobacco","clerical, sales and services workers",-
2000,"food, beverages and tobacco","production and transport operators, cleaners and labourers",1.7
2000,paper products and printing,"professionals, managers, executives and technicians",-
2000,paper products and printing,"clerical, sales and services workers",-
2000,paper products and printing,"production and transport operators, cleaners and labourers",2.2
2000,"petroleum, chemical and pharmaceutical products","professionals, managers, executives and technicians",1.7
2000,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",-
2000,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",1.3
2000,rubber and plastic products,"professionals, managers, executives and technicians",4
2000,rubber and plastic products,"clerical, sales and services workers",3.6
2000,rubber and plastic products,"production and transport operators, cleaners and labourers",3.9
2000,fabricated metal products,"professionals, managers, executives and technicians",2.8
2000,fabricated metal products,"clerical, sales and services workers",2.4
2000,fabricated metal products,"production and transport operators, cleaners and labourers",2.3
2000,machinery and equipment,"professionals, managers, executives and technicians",2.6
2000,machinery and equipment,"clerical, sales and services workers",2.5
2000,machinery and equipment,"production and transport operators, cleaners and labourers",3.1
2000,electrical products,"professionals, managers, executives and technicians",3.5
2000,electrical products,"clerical, sales and services workers",-
2000,electrical products,"production and transport operators, cleaners and labourers",1.7
2000,electronic products,"professionals, managers, executives and technicians",4.2
2000,electronic products,"clerical, sales and services workers",3.2
2000,electronic products,"production and transport operators, cleaners and labourers",2.5
2000,medical and precision instruments,"professionals, managers, executives and technicians",4.5
2000,medical and precision instruments,"clerical, sales and services workers",-
2000,medical and precision instruments,"production and transport operators, cleaners and labourers",3.6
2000,transport equipment,"professionals, managers, executives and technicians",3.2
2000,transport equipment,"clerical, sales and services workers",3.2
2000,transport equipment,"production and transport operators, cleaners and labourers",2.6
2000,other manufacturing industries,"professionals, managers, executives and technicians",2.3
2000,other manufacturing industries,"clerical, sales and services workers",2
2000,other manufacturing industries,"production and transport operators, cleaners and labourers",3.5
2000,construction,"professionals, managers, executives and technicians",1.3
2000,construction,"clerical, sales and services workers",1
2000,construction,"production and transport operators, cleaners and labourers",1
2000,services producing industries,"professionals, managers, executives and technicians",3.3
2000,services producing industries,"clerical, sales and services workers",3.3
2000,services producing industries,"production and transport operators, cleaners and labourers",2.8
2000,wholesale and retail trade,"professionals, managers, executives and technicians",2.5
2000,wholesale and retail trade,"clerical, sales and services workers",3
2000,wholesale and retail trade,"production and transport operators, cleaners and labourers",1.7
2000,wholesale trade,"professionals, managers, executives and technicians",2.6
2000,wholesale trade,"clerical, sales and services workers",2.3
2000,wholesale trade,"production and transport operators, cleaners and labourers",1.7
2000,retail trade,"professionals, managers, executives and technicians",1.9
2000,retail trade,"clerical, sales and services workers",3.8
2000,retail trade,"production and transport operators, cleaners and labourers",2.1
2000,transport and storage,"professionals, managers, executives and technicians",2.6
2000,transport and storage,"clerical, sales and services workers",3.1
2000,transport and storage,"production and transport operators, cleaners and labourers",3.5
2000,land transport and supporting services,"professionals, managers, executives and technicians",-
2000,land transport and supporting services,"clerical, sales and services workers",4
2000,land transport and supporting services,"production and transport operators, cleaners and labourers",2.6
2000,water transport and supporting services,"professionals, managers, executives and technicians",1.9
2000,water transport and supporting services,"clerical, sales and services workers",1.5
2000,water transport and supporting services,"production and transport operators, cleaners and labourers",7.9
2000,air transport and supporting services,"professionals, managers, executives and technicians",6
2000,air transport and supporting services,"clerical, sales and services workers",4.1
2000,air transport and supporting services,"production and transport operators, cleaners and labourers",2.6
2000,other transport and storage services,"professionals, managers, executives and technicians",1.3
2000,other transport and storage services,"clerical, sales and services workers",1.7
2000,other transport and storage services,"production and transport operators, cleaners and labourers",0.8
2000,hotels and restaurants,"professionals, managers, executives and technicians",2.5
2000,hotels and restaurants,"clerical, sales and services workers",3.2
2000,hotels and restaurants,"production and transport operators, cleaners and labourers",4.3
2000,hotels,"professionals, managers, executives and technicians",2.9
2000,hotels,"clerical, sales and services workers",5
2000,hotels,"production and transport operators, cleaners and labourers",5
2000,restaurants,"professionals, managers, executives and technicians",2
2000,restaurants,"clerical, sales and services workers",2.2
2000,restaurants,"production and transport operators, cleaners and labourers",3.9
2000,information and communications,"professionals, managers, executives and technicians",5.5
2000,information and communications,"clerical, sales and services workers",4.6
2000,information and communications,"production and transport operators, cleaners and labourers",-
2000,broadcasting and publishing,"professionals, managers, executives and technicians",6.7
2000,broadcasting and publishing,"clerical, sales and services workers",3.2
2000,broadcasting and publishing,"production and transport operators, cleaners and labourers",-
2000,telecommunications,"professionals, managers, executives and technicians",4.2
2000,telecommunications,"clerical, sales and services workers",6.3
2000,telecommunications,"production and transport operators, cleaners and labourers",-
2000,it and other information services,"professionals, managers, executives and technicians",5.7
2000,it and other information services,"clerical, sales and services workers",-
2000,it and other information services,"production and transport operators, cleaners and labourers",-
2000,financial services,"professionals, managers, executives and technicians",3.4
2000,financial services,"clerical, sales and services workers",3.1
2000,financial services,"production and transport operators, cleaners and labourers",3.4
2000,financial institutions,"professionals, managers, executives and technicians",3.3
2000,financial institutions,"clerical, sales and services workers",3.2
2000,financial institutions,"production and transport operators, cleaners and labourers",3.5
2000,insurance,"professionals, managers, executives and technicians",4.2
2000,insurance,"clerical, sales and services workers",2.6
2000,insurance,"production and transport operators, cleaners and labourers",-
2000,real estate and leasing services,"professionals, managers, executives and technicians",2.3
2000,real estate and leasing services,"clerical, sales and services workers",3.5
2000,real estate and leasing services,"production and transport operators, cleaners and labourers",2.4
2000,professional services,"professionals, managers, executives and technicians",3
2000,professional services,"clerical, sales and services workers",2.3
2000,professional services,"production and transport operators, cleaners and labourers",2.6
2000,"legal, accounting and management services","professionals, managers, executives and technicians",2.8
2000,"legal, accounting and management services","clerical, sales and services workers",2
2000,"legal, accounting and management services","production and transport operators, cleaners and labourers",-
2000,architectural and engineering services,"professionals, managers, executives and technicians",2.6
2000,architectural and engineering services,"clerical, sales and services workers",3
2000,architectural and engineering services,"production and transport operators, cleaners and labourers",3.3
2000,other professional services,"professionals, managers, executives and technicians",4.5
2000,other professional services,"clerical, sales and services workers",2.6
2000,other professional services,"production and transport operators, cleaners and labourers",-
2000,administrative and support services,"professionals, managers, executives and technicians",3.2
2000,administrative and support services,"clerical, sales and services workers",4.8
2000,administrative and support services,"production and transport operators, cleaners and labourers",3
2000,"community, social and personal services","professionals, managers, executives and technicians",3.8
2000,"community, social and personal services","clerical, sales and services workers",3.8
2000,"community, social and personal services","production and transport operators, cleaners and labourers",2.7
2000,education,"professionals, managers, executives and technicians",2.1
2000,education,"clerical, sales and services workers",2.2
2000,education,"production and transport operators, cleaners and labourers",-
2000,"health, social and community services","professionals, managers, executives and technicians",5.1
2000,"health, social and community services","clerical, sales and services workers",4.6
2000,"health, social and community services","production and transport operators, cleaners and labourers",4.2
2000,"other community, social and personal services","professionals, managers, executives and technicians",2.5
2000,"other community, social and personal services","clerical, sales and services workers",3.6
2000,"other community, social and personal services","production and transport operators, cleaners and labourers",2.2
2000,others,"professionals, managers, executives and technicians",5.4
2000,others,"clerical, sales and services workers",-
2000,others,"production and transport operators, cleaners and labourers",1
2001,manufacturing,"professionals, managers, executives and technicians",1.5
2001,manufacturing,"clerical, sales and services workers",1
2001,manufacturing,"production and transport operators, cleaners and labourers",1.2
2001,"food, beverages and tobacco","professionals, managers, executives and technicians",-
2001,"food, beverages and tobacco","clerical, sales and services workers",-
2001,"food, beverages and tobacco","production and transport operators, cleaners and labourers",0.8
2001,paper products and printing,"professionals, managers, executives and technicians",-
2001,paper products and printing,"clerical, sales and services workers",-
2001,paper products and printing,"production and transport operators, cleaners and labourers",1.1
2001,"petroleum, chemical and pharmaceutical products","professionals, managers, executives and technicians",1.3
2001,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",-
2001,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",0.7
2001,rubber and plastic products,"professionals, managers, executives and technicians",-
2001,rubber and plastic products,"clerical, sales and services workers",-
2001,rubber and plastic products,"production and transport operators, cleaners and labourers",0.7
2001,fabricated metal products,"professionals, managers, executives and technicians",1.3
2001,fabricated metal products,"clerical, sales and services workers",-
2001,fabricated metal products,"production and transport operators, cleaners and labourers",0.9
2001,machinery and equipment,"professionals, managers, executives and technicians",1.1
2001,machinery and equipment,"clerical, sales and services workers",-
2001,machinery and equipment,"production and transport operators, cleaners and labourers",1.3
2001,electrical products,"professionals, managers, executives and technicians",-
2001,electrical products,"clerical, sales and services workers",-
2001,electrical products,"production and transport operators, cleaners and labourers",-
2001,electronic products,"professionals, managers, executives and technicians",1.2
2001,electronic products,"clerical, sales and services workers",-
2001,electronic products,"production and transport operators, cleaners and labourers",0.4
2001,medical and precision instruments,"professionals, managers, executives and technicians",2
2001,medical and precision instruments,"clerical, sales and services workers",-
2001,medical and precision instruments,"production and transport operators, cleaners and labourers",1.3
2001,transport equipment,"professionals, managers, executives and technicians",3.6
2001,transport equipment,"clerical, sales and services workers",2.5
2001,transport equipment,"production and transport operators, cleaners and labourers",2.7
2001,other manufacturing industries,"professionals, managers, executives and technicians",-
2001,other manufacturing industries,"clerical, sales and services workers",-
2001,other manufacturing industries,"production and transport operators, cleaners and labourers",1.4
2001,construction,"professionals, managers, executives and technicians",0.7
2001,construction,"clerical, sales and services workers",0.5
2001,construction,"production and transport operators, cleaners and labourers",0.6
2001,services producing industries,"professionals, managers, executives and technicians",1.9
2001,services producing industries,"clerical, sales and services workers",2
2001,services producing industries,"production and transport operators, cleaners and labourers",2
2001,wholesale and retail trade,"professionals, managers, executives and technicians",1
2001,wholesale and retail trade,"clerical, sales and services workers",1.8
2001,wholesale and retail trade,"production and transport operators, cleaners and labourers",0.7
2001,wholesale trade,"professionals, managers, executives and technicians",1
2001,wholesale trade,"clerical, sales and services workers",1.2
2001,wholesale trade,"production and transport operators, cleaners and labourers",0.6
2001,retail trade,"professionals, managers, executives and technicians",1.1
2001,retail trade,"clerical, sales and services workers",2.5
2001,retail trade,"production and transport operators, cleaners and labourers",-
2001,transport and storage,"professionals, managers, executives and technicians",2.9
2001,transport and storage,"clerical, sales and services workers",2.2
2001,transport and storage,"production and transport operators, cleaners and labourers",2.9
2001,land transport and supporting services,"professionals, managers, executives and technicians",-
2001,land transport and supporting services,"clerical, sales and services workers",2.6
2001,land transport and supporting services,"production and transport operators, cleaners and labourers",1.6
2001,water transport and supporting services,"professionals, managers, executives and technicians",1.3
2001,water transport and supporting services,"clerical, sales and services workers",-
2001,water transport and supporting services,"production and transport operators, cleaners and labourers",7.5
2001,air transport and supporting services,"professionals, managers, executives and technicians",9.3
2001,air transport and supporting services,"clerical, sales and services workers",3.2
2001,air transport and supporting services,"production and transport operators, cleaners and labourers",2.2
2001,other transport and storage services,"professionals, managers, executives and technicians",1
2001,other transport and storage services,"clerical, sales and services workers",0.8
2001,other transport and storage services,"production and transport operators, cleaners and labourers",0.5
2001,hotels and restaurants,"professionals, managers, executives and technicians",2.3
2001,hotels and restaurants,"clerical, sales and services workers",2.6
2001,hotels and restaurants,"production and transport operators, cleaners and labourers",2.4
2001,hotels,"professionals, managers, executives and technicians",3.3
2001,hotels,"clerical, sales and services workers",4.5
2001,hotels,"production and transport operators, cleaners and labourers",3.1
2001,restaurants,"professionals, managers, executives and technicians",-
2001,restaurants,"clerical, sales and services workers",1.5
2001,restaurants,"production and transport operators, cleaners and labourers",2
2001,information and communications,"professionals, managers, executives and technicians",1.9
2001,information and communications,"clerical, sales and services workers",1.7
2001,information and communications,"production and transport operators, cleaners and labourers",-
2001,broadcasting and publishing,"professionals, managers, executives and technicians",2.2
2001,broadcasting and publishing,"clerical, sales and services workers",-
2001,broadcasting and publishing,"production and transport operators, cleaners and labourers",-
2001,telecommunications,"professionals, managers, executives and technicians",1.5
2001,telecommunications,"clerical, sales and services workers",-
2001,telecommunications,"production and transport operators, cleaners and labourers",-
2001,it and other information services,"professionals, managers, executives and technicians",1.9
2001,it and other information services,"clerical, sales and services workers",-
2001,it and other information services,"production and transport operators, cleaners and labourers",-
2001,financial services,"professionals, managers, executives and technicians",2.6
2001,financial services,"clerical, sales and services workers",1.7
2001,financial services,"production and transport operators, cleaners and labourers",-
2001,financial institutions,"professionals, managers, executives and technicians",2.6
2001,financial institutions,"clerical, sales and services workers",1.8
2001,financial institutions,"production and transport operators, cleaners and labourers",-
2001,insurance,"professionals, managers, executives and technicians",3.2
2001,insurance,"clerical, sales and services workers",1.3
2001,insurance,"production and transport operators, cleaners and labourers",-
2001,real estate and leasing services,"professionals, managers, executives and technicians",1.5
2001,real estate and leasing services,"clerical, sales and services workers",1.3
2001,real estate and leasing services,"production and transport operators, cleaners and labourers",2
2001,professional services,"professionals, managers, executives and technicians",1.3
2001,professional services,"clerical, sales and services workers",1
2001,professional services,"production and transport operators, cleaners and labourers",-
2001,"legal, accounting and management services","professionals, managers, executives and technicians",0.9
2001,"legal, accounting and management services","clerical, sales and services workers",1.1
2001,"legal, accounting and management services","production and transport operators, cleaners and labourers",-
2001,architectural and engineering services,"professionals, managers, executives and technicians",0.9
2001,architectural and engineering services,"clerical, sales and services workers",-
2001,architectural and engineering services,"production and transport operators, cleaners and labourers",-
2001,other professional services,"professionals, managers, executives and technicians",2.8
2001,other professional services,"clerical, sales and services workers",-
2001,other professional services,"production and transport operators, cleaners and labourers",-
2001,administrative and support services,"professionals, managers, executives and technicians",-
2001,administrative and support services,"clerical, sales and services workers",2.8
2001,administrative and support services,"production and transport operators, cleaners and labourers",3.9
2001,"community, social and personal services","professionals, managers, executives and technicians",2.1
2001,"community, social and personal services","clerical, sales and services workers",2.1
2001,"community, social and personal services","production and transport operators, cleaners and labourers",1.9
2001,education,"professionals, managers, executives and technicians",1.1
2001,education,"clerical, sales and services workers",-
2001,education,"production and transport operators, cleaners and labourers",-
2001,"health, social and community services","professionals, managers, executives and technicians",3
2001,"health, social and community services","clerical, sales and services workers",2.4
2001,"health, social and community services","production and transport operators, cleaners and labourers",2.5
2001,"other community, social and personal services","professionals, managers, executives and technicians",1.3
2001,"other community, social and personal services","clerical, sales and services workers",2.2
2001,"other community, social and personal services","production and transport operators, cleaners and labourers",1.8
2001,others,"professionals, managers, executives and technicians",5.5
2001,others,"clerical, sales and services workers",-
2001,others,"production and transport operators, cleaners and labourers",1
2002,manufacturing,"professionals, managers, executives and technicians",1.7
2002,manufacturing,"clerical, sales and services workers",0.9
2002,manufacturing,"production and transport operators, cleaners and labourers",1.7
2002,"food, beverages and tobacco","professionals, managers, executives and technicians",-
2002,"food, beverages and tobacco","clerical, sales and services workers",-
2002,"food, beverages and tobacco","production and transport operators, cleaners and labourers",2
2002,paper products and printing,"professionals, managers, executives and technicians",-
2002,paper products and printing,"clerical, sales and services workers",-
2002,paper products and printing,"production and transport operators, cleaners and labourers",0.7
2002,"petroleum, chemical and pharmaceutical products","professionals, managers, executives and technicians",1.6
2002,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",-
2002,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",0.8
2002,rubber and plastic products,"professionals, managers, executives and technicians",2.4
2002,rubber and plastic products,"clerical, sales and services workers",-
2002,rubber and plastic products,"production and transport operators, cleaners and labourers",2.1
2002,fabricated metal products,"professionals, managers, executives and technicians",1.5
2002,fabricated metal products,"clerical, sales and services workers",-
2002,fabricated metal products,"production and transport operators, cleaners and labourers",2
2002,machinery and equipment,"professionals, managers, executives and technicians",1
2002,machinery and equipment,"clerical, sales and services workers",-
2002,machinery and equipment,"production and transport operators, cleaners and labourers",1.3
2002,electrical products,"professionals, managers, executives and technicians",-
2002,electrical products,"clerical, sales and services workers",-
2002,electrical products,"production and transport operators, cleaners and labourers",1
2002,electronic products,"professionals, managers, executives and technicians",1.4
2002,electronic products,"clerical, sales and services workers",-
2002,electronic products,"production and transport operators, cleaners and labourers",1.4
2002,medical and precision instruments,"professionals, managers, executives and technicians",1.7
2002,medical and precision instruments,"clerical, sales and services workers",-
2002,medical and precision instruments,"production and transport operators, cleaners and labourers",-
2002,transport equipment,"professionals, managers, executives and technicians",3.7
2002,transport equipment,"clerical, sales and services workers",1.9
2002,transport equipment,"production and transport operators, cleaners and labourers",2.3
2002,other manufacturing industries,"professionals, managers, executives and technicians",-
2002,other manufacturing industries,"clerical, sales and services workers",-
2002,other manufacturing industries,"production and transport operators, cleaners and labourers",2.1
2002,construction,"professionals, managers, executives and technicians",0.7
2002,construction,"clerical, sales and services workers",-
2002,construction,"production and transport operators, cleaners and labourers",0.5
2002,services producing industries,"professionals, managers, executives and technicians",1.3
2002,services producing industries,"clerical, sales and services workers",1.7
2002,services producing industries,"production and transport operators, cleaners and labourers",1.9
2002,wholesale and retail trade,"professionals, managers, executives and technicians",0.9
2002,wholesale and retail trade,"clerical, sales and services workers",1.4
2002,wholesale and retail trade,"production and transport operators, cleaners and labourers",1
2002,wholesale trade,"professionals, managers, executives and technicians",0.8
2002,wholesale trade,"clerical, sales and services workers",0.9
2002,wholesale trade,"production and transport operators, cleaners and labourers",0.9
2002,retail trade,"professionals, managers, executives and technicians",1.4
2002,retail trade,"clerical, sales and services workers",1.9
2002,retail trade,"production and transport operators, cleaners and labourers",1.4
2002,transport and storage,"professionals, managers, executives and technicians",1.8
2002,transport and storage,"clerical, sales and services workers",2.2
2002,transport and storage,"production and transport operators, cleaners and labourers",3.3
2002,land transport and supporting services,"professionals, managers, executives and technicians",-
2002,land transport and supporting services,"clerical, sales and services workers",-
2002,land transport and supporting services,"production and transport operators, cleaners and labourers",1.4
2002,water transport and supporting services,"professionals, managers, executives and technicians",0.8
2002,water transport and supporting services,"clerical, sales and services workers",-
2002,water transport and supporting services,"production and transport operators, cleaners and labourers",7.1
2002,air transport and supporting services,"professionals, managers, executives and technicians",6
2002,air transport and supporting services,"clerical, sales and services workers",3.8
2002,air transport and supporting services,"production and transport operators, cleaners and labourers",4.2
2002,other transport and storage services,"professionals, managers, executives and technicians",-
2002,other transport and storage services,"clerical, sales and services workers",0.7
2002,other transport and storage services,"production and transport operators, cleaners and labourers",0.9
2002,hotels and restaurants,"professionals, managers, executives and technicians",1.5
2002,hotels and restaurants,"clerical, sales and services workers",2.5
